mu, offset, k1, k2_constant, rel_err, query_time, build_time
0.0001, -1, 21, 0.448899, 0.952298, 0.0859, 5671
0.0001, -1, 21, 0.91612, 0.941949, 0.1058, 5759
0.0001, -1, 21, 1.86963, 0.91961, 0.1527, 6261
0.0001, -1, 21, 3.81558, 0.872268, 0.2352, 7129
0.0001, -1, 21, 7.78689, 0.781828, 0.3502, 8992
0.0001, -1, 21, 15.8916, 0.64312, 0.5604, 12998
0.0001, -1, 21, 32.4319, 0.456602, 0.9372, 23844
0.0001, -1, 21, 66.1875, 0.247448, 1.9302, 44927
0.0001, -1, 31, 0.0528125, 0.95916, 0.0947, 7908
0.0001, -1, 31, 0.107781, 0.958942, 0.0947, 7847
0.0001, -1, 31, 0.21996, 0.957422, 0.0903, 7999
0.0001, -1, 31, 0.448899, 0.952302, 0.1145, 8302
0.0001, -1, 31, 0.91612, 0.941078, 0.1372, 8544
0.0001, -1, 31, 1.86963, 0.919697, 0.2074, 9217
0.0001, -1, 31, 3.81558, 0.871971, 0.3247, 10504
0.0001, -1, 31, 7.78689, 0.779871, 0.5183, 14251
0.0001, -1, 31, 15.8916, 0.645142, 0.7982, 20120
0.0001, -1, 31, 32.4319, 0.457431, 1.3549, 35051
0.0001, -1, 45, 0.0528125, 0.959383, 0.1285, 11601
0.0001, -1, 45, 0.107781, 0.959027, 0.1237, 11816
0.0001, -1, 45, 0.21996, 0.957084, 0.1438, 11666
0.0001, -1, 45, 0.448899, 0.952498, 0.1548, 11954
0.0001, -1, 45, 0.91612, 0.941342, 0.2099, 12458
0.0001, -1, 45, 1.86963, 0.919906, 0.2994, 13307
0.0001, -1, 45, 3.81558, 0.872964, 0.464, 15010
0.0001, -1, 45, 7.78689, 0.782216, 0.7466, 19606
0.0001, -1, 45, 15.8916, 0.644067, 1.0964, 30270
0.0001, -1, 65, 0.0528125, 0.959461, 0.1803, 16705
0.0001, -1, 65, 0.107781, 0.958734, 0.1684, 16653
0.0001, -1, 65, 0.21996, 0.957068, 0.2123, 16721
0.0001, -1, 65, 0.448899, 0.952249, 0.2292, 17232
0.0001, -1, 65, 0.91612, 0.941333, 0.2906, 17550
0.0001, -1, 65, 1.86963, 0.920349, 0.405, 18662
0.0001, -1, 65, 3.81558, 0.872413, 0.6566, 21614
0.0001, -1, 65, 7.78689, 0.783119, 1.0232, 27493
0.0001, -2, 1, 0.0528125, 0.977757, 0.0061, 278
0.0001, -2, 1, 0.107781, 0.975388, 0.0061, 282
0.0001, -2, 1, 0.21996, 0.975019, 0.006, 282
0.0001, -2, 1, 0.448899, 0.968162, 0.0072, 290
0.0001, -2, 1, 0.91612, 0.955902, 0.0111, 303
0.0001, -2, 1, 1.86963, 0.934089, 0.0154, 332
0.0001, -2, 1, 3.81558, 0.889956, 0.0255, 419
0.0001, -2, 1, 7.78689, 0.810106, 0.0487, 664
0.0001, -2, 1, 15.8916, 0.66209, 0.0537, 1525
