mu, offset, k1, k2_constant, rel_err, query_time, build_time
0.0001, 2, 45, 0.967195, 0.0463198, 0.3936, 46690
0.0001, 2, 45, 0.473926, 0.0573215, 0.2966, 46035
0.0001, 2, 45, 0.232224, 0.0474926, 0.275, 46718
0.0001, 2, 45, 0.11379, 0.0507243, 0.2606, 46018
0.0001, 2, 45, 0.0557569, 0.0556137, 0.261, 46755
0.0001, 2, 31, 69.8776, 0.0605873, 1.4404, 32704
0.0001, 2, 31, 34.24, 0.058178, 0.9404, 32949
0.0001, 2, 31, 16.7776, 0.0465673, 0.67, 32553
0.0001, 2, 31, 8.22103, 0.0439699, 0.5607, 32586
0.0001, 2, 31, 4.0283, 0.0658815, 0.4723, 32281
0.0001, 2, 31, 1.97387, 0.0555027, 0.3694, 32385
0.0001, 2, 31, 0.967195, 0.113594, 0.2911, 32665
0.0001, 2, 31, 0.473926, 0.0613019, 0.2135, 32459
0.0001, 2, 31, 0.232224, 0.053937, 0.1782, 32594
0.0001, 2, 31, 0.11379, 0.0465035, 0.1881, 32360
0.0001, 2, 31, 0.0557569, 0.0613165, 0.1916, 31929
0.0001, 2, 21, 69.8776, 0.0712007, 0.9727, 22536
0.0001, 2, 21, 34.24, 0.0571986, 0.6207, 22680
0.0001, 2, 21, 16.7776, 0.0828757, 0.4741, 22490
0.0001, 2, 21, 8.22103, 0.0505648, 0.3653, 22292
0.0001, 2, 21, 4.0283, 0.0580745, 0.3115, 21886
0.0001, 2, 21, 1.97387, 0.0526351, 0.2443, 21827
0.0001, 2, 21, 0.967195, 0.0838215, 0.2036, 22226
0.0001, 2, 21, 0.473926, 0.0602109, 0.1589, 22099
0.0001, 2, 21, 0.232224, 0.065777, 0.1493, 22244
0.0001, 2, 21, 0.11379, 0.0465562, 0.1399, 22086
0.0001, 2, 21, 0.0557569, 0.0597872, 0.1237, 21684
0.0001, 2, 14, 69.8776, 0.0894076, 0.6534, 14871
0.0001, 2, 14, 34.24, 0.0704529, 0.4102, 15252
0.0001, 2, 14, 16.7776, 0.072323, 0.3042, 15153
0.0001, 2, 14, 8.22103, 0.0557225, 0.2591, 14624
0.0001, 2, 14, 4.0283, 0.0529908, 0.2206, 14616
0.0001, 2, 14, 1.97387, 0.0693839, 0.1707, 14894
0.0001, 2, 14, 0.967195, 0.0528306, 0.1376, 14961
0.0001, 2, 14, 0.473926, 0.0571536, 0.1188, 15084
0.0001, 2, 14, 0.232224, 0.058244, 0.1002, 14867
0.0001, 2, 14, 0.11379, 0.0581158, 0.0884, 14994
0.0001, 2, 14, 0.0557569, 0.0520589, 0.0985, 14662
0.0001, 2, 9, 69.8776, 0.0659435, 0.3813, 9640
0.0001, 2, 9, 34.24, 0.0733642, 0.2802, 9871
0.0001, 2, 9, 16.7776, 0.0602003, 0.2002, 9556
0.0001, 2, 9, 8.22103, 0.0791813, 0.1976, 9626
0.0001, 2, 9, 4.0283, 0.0693201, 0.1534, 9571
0.0001, 2, 9, 1.97387, 0.0739715, 0.1354, 9478
0.0001, 2, 9, 0.967195, 0.0795306, 0.1011, 9609
0.0001, 2, 9, 0.473926, 0.0842383, 0.0781, 9659
0.0001, 2, 9, 0.232224, 0.0701656, 0.0722, 9532
0.0001, 2, 9, 0.11379, 0.0766085, 0.0602, 9556
0.0001, 2, 9, 0.0557569, 0.07845, 0.0658, 9809
0.0001, 2, 6, 69.8776, 0.0725254, 0.2598, 6474
0.0001, 2, 6, 34.24, 0.077763, 0.1904, 6935
0.0001, 2, 6, 16.7776, 0.0956064, 0.1544, 6440
0.0001, 2, 6, 8.22103, 0.0669568, 0.1244, 6514
0.0001, 2, 6, 4.0283, 0.0943181, 0.0954, 6466
0.0001, 2, 6, 1.97387, 0.0797821, 0.0891, 6515
0.0001, 2, 6, 0.967195, 0.085278, 0.0699, 6455
0.0001, 2, 6, 0.473926, 0.0671648, 0.0531, 6509
0.0001, 2, 6, 0.232224, 0.0776021, 0.047, 6508
0.0001, 2, 6, 0.11379, 0.0693581, 0.0464, 6522
0.0001, 2, 6, 0.0557569, 0.0730942, 0.0462, 6529
