mu, offset, k1, k2_constant, rel_err, query_time, build_time
0.0001, 11, 65, 65.565, 0.9298, 0.0139, 23952
0.0001, 12, 65, 65.565, 0.9298, 0.0145, 23902
0.0001, 13, 65, 65.565, 0.9298, 0.0155, 24148
0.0001, 14, 65, 65.565, 0.9298, 0.0162, 23926
0.0001, -1, 1, 0.0523158, 0.456588, 0.0096, 384
0.0001, -1, 1, 0.106767, 0.408374, 0.0086, 378
0.0001, -1, 1, 0.217892, 0.382131, 0.0085, 375
0.0001, -1, 1, 0.444677, 0.363457, 0.0088, 380
0.0001, -1, 1, 0.907505, 0.385928, 0.008, 384
0.0001, -1, 1, 1.85205, 0.380226, 0.0077, 395
0.0001, -1, 1, 3.77969, 0.400899, 0.0078, 417
0.0001, -1, 1, 7.71366, 0.381372, 0.0104, 542
0.0001, -1, 1, 15.7422, 0.405221, 0.0157, 614
0.0001, -1, 1, 32.1269, 0.333068, 0.0244, 1032
0.0001, -1, 1, 65.565, 0.309598, 0.0387, 1881
0.0001, -1, 2, 0.0523158, 0.374228, 0.0166, 815
0.0001, -1, 2, 0.106767, 0.410163, 0.0137, 890
0.0001, -1, 2, 0.217892, 0.442199, 0.0138, 812
0.0001, -1, 2, 0.444677, 0.44761, 0.0142, 763
0.0001, -1, 2, 0.907505, 0.375575, 0.0168, 765
0.0001, -1, 2, 1.85205, 0.367706, 0.0177, 914
0.0001, -1, 2, 3.77969, 0.381791, 0.0173, 809
0.0001, -1, 2, 7.71366, 0.385358, 0.0244, 894
0.0001, -1, 2, 15.7422, 0.393552, 0.0276, 1108
0.0001, -1, 2, 32.1269, 0.406071, 0.0465, 1575
0.0001, -1, 2, 65.565, 0.317064, 0.0671, 3103
0.0001, -1, 4, 0.0523158, 0.350306, 0.0274, 1584
0.0001, -1, 4, 0.106767, 0.338296, 0.0273, 1533
0.0001, -1, 4, 0.217892, 0.341216, 0.0294, 1554
0.0001, -1, 4, 0.444677, 0.352084, 0.0277, 1786
0.0001, -1, 4, 0.907505, 0.32888, 0.0319, 1555
0.0001, -1, 4, 1.85205, 0.335597, 0.032, 1597
0.0001, -1, 4, 3.77969, 0.327588, 0.0334, 1621
0.0001, -1, 4, 7.71366, 0.317968, 0.0356, 1790
0.0001, -1, 4, 15.7422, 0.303435, 0.0621, 2119
0.0001, -1, 4, 32.1269, 0.298224, 0.0857, 3178
0.0001, -1, 4, 65.565, 0.248356, 0.151, 5566
0.0001, -1, 6, 0.0523158, 0.340133, 0.0387, 2344
0.0001, -1, 6, 0.106767, 0.3155, 0.0423, 2314
0.0001, -1, 6, 0.217892, 0.341017, 0.0389, 2405
0.0001, -1, 6, 0.444677, 0.333097, 0.0397, 2557
0.0001, -1, 6, 0.907505, 0.324281, 0.0397, 2418
0.0001, -1, 6, 1.85205, 0.326348, 0.0487, 2398
0.0001, -1, 6, 3.77969, 0.309006, 0.0442, 2586
0.0001, -1, 6, 7.71366, 0.311604, 0.0577, 2676
0.0001, -1, 6, 15.7422, 0.297421, 0.0823, 3200
0.0001, -1, 6, 32.1269, 0.290251, 0.1242, 4403
0.0001, -1, 6, 65.565, 0.233212, 0.2063, 7303
0.0001, -1, 9, 0.0523158, 0.338243, 0.0587, 3545
0.0001, -1, 9, 0.106767, 0.3369, 0.0569, 3515
0.0001, -1, 9, 0.217892, 0.32986, 0.0635, 3554
0.0001, -1, 9, 0.444677, 0.330204, 0.0597, 3455
0.0001, -1, 9, 0.907505, 0.328602, 0.0606, 3530
0.0001, -1, 9, 1.85205, 0.339086, 0.0704, 3539
0.0001, -1, 9, 3.77969, 0.322545, 0.0725, 3743
0.0001, -1, 9, 7.71366, 0.325739, 0.0882, 4091
0.0001, -1, 9, 15.7422, 0.296413, 0.1071, 4842
0.0001, -1, 9, 32.1269, 0.27112, 0.1512, 6613
0.0001, -1, 9, 65.565, 0.223788, 0.2683, 10873
0.0001, -1, 14, 0.0523158, 0.324129, 0.0864, 5692
0.0001, -1, 14, 0.106767, 0.322386, 0.0877, 5446
0.0001, -1, 14, 0.217892, 0.33248, 0.0851, 5379
0.0001, -1, 14, 0.444677, 0.326649, 0.0911, 5436
0.0001, -1, 14, 0.907505, 0.327921, 0.0939, 5465
0.0001, -1, 14, 1.85205, 0.320514, 0.0999, 5538
0.0001, -1, 14, 3.77969, 0.308979, 0.1115, 5773
0.0001, -1, 14, 7.71366, 0.30449, 0.1333, 6294
0.0001, -1, 14, 15.7422, 0.287629, 0.1687, 7605
0.0001, -1, 14, 32.1269, 0.264235, 0.2515, 10102
0.0001, -1, 14, 65.565, 0.220531, 0.4374, 17016
0.0001, -1, 21, 0.0523158, 0.324021, 0.1304, 8277
0.0001, -1, 21, 0.106767, 0.322602, 0.124, 7906
0.0001, -1, 21, 0.217892, 0.330277, 0.1158, 8057
0.0001, -1, 21, 0.444677, 0.327743, 0.1381, 8040
0.0001, -1, 21, 0.907505, 0.3254, 0.1149, 8088
0.0001, -1, 21, 1.85205, 0.320208, 0.1478, 8266
0.0001, -1, 21, 3.77969, 0.318671, 0.135, 8618
0.0001, -1, 21, 7.71366, 0.307347, 0.1879, 9376
0.0001, -1, 21, 15.7422, 0.289137, 0.2103, 11096
0.0001, -1, 21, 32.1269, 0.263853, 0.3577, 14921
0.0001, -1, 21, 65.565, 0.220984, 0.6192, 23446
0.0001, -1, 31, 0.0523158, 0.327104, 0.1638, 11832
0.0001, -1, 31, 0.106767, 0.322148, 0.1717, 12132
0.0001, -1, 31, 0.217892, 0.322255, 0.1757, 11606
0.0001, -1, 31, 0.444677, 0.333028, 0.1853, 11641
0.0001, -1, 31, 0.907505, 0.322101, 0.184, 11810
0.0001, -1, 31, 1.85205, 0.313735, 0.1747, 12007
0.0001, -1, 31, 3.77969, 0.323906, 0.196, 12818
0.0001, -1, 31, 7.71366, 0.303649, 0.2643, 13727
0.0001, -1, 31, 15.7422, 0.282516, 0.3307, 16446
0.0001, -1, 31, 32.1269, 0.255789, 0.5136, 21958
0.0001, -1, 31, 65.565, 0.225653, 0.9935, 34185
0.0001, -1, 45, 0.0523158, 0.316512, 0.2588, 16614
0.0001, -1, 45, 0.106767, 0.320138, 0.2184, 16527
0.0001, -1, 45, 0.217892, 0.320348, 0.2444, 16512
0.0001, -1, 45, 0.444677, 0.330819, 0.2379, 16513
0.0001, -1, 45, 0.907505, 0.317318, 0.2615, 16653
0.0001, -1, 45, 1.85205, 0.320071, 0.2578, 17292
0.0001, -1, 45, 3.77969, 0.312122, 0.3029, 18224
0.0001, -1, 45, 7.71366, 0.302203, 0.3717, 19556
0.0001, -1, 45, 15.7422, 0.296121, 0.4848, 23639
0.0001, -1, 45, 32.1269, 0.262531, 0.748, 31792
0.0001, -1, 45, 65.565, 0.221586, 1.347, 48430
0.0001, -1, 65, 0.0523158, 0.322309, 0.3543, 24093
0.0001, -1, 65, 0.106767, 0.322829, 0.3183, 23806
0.0001, -1, 65, 0.217892, 0.317625, 0.3466, 23649
0.0001, -1, 65, 0.444677, 0.321645, 0.3462, 24105
0.0001, -1, 65, 0.907505, 0.314215, 0.3397, 24434
0.0001, -1, 65, 1.85205, 0.328546, 0.3651, 24784
0.0001, -1, 65, 3.77969, 0.319278, 0.4084, 26689
