mu, offset, k1, k2_constant, rel_err, query_time, build_time
0.0001, 3, 16, 12.6597, 0.15446, 0.0171, 71
0.0001, 3, 16, 6.20324, 0.159487, 0.0143, 66
0.0001, 3, 16, 3.03959, 0.152081, 0.0134, 51
0.0001, 3, 16, 1.4894, 0.158036, 0.0105, 48
0.0001, 3, 16, 0.729805, 0.16627, 0.0127, 49
0.0001, 3, 16, 0.357605, 0.169158, 0.0098, 55
0.0001, 3, 16, 0.175226, 0.168797, 0.01, 50
0.0001, 3, 16, 0.0858609, 0.169608, 0.0087, 48
0.0001, 3, 11, 52.7267, 0.189119, 0.0199, 109
0.0001, 3, 11, 25.8361, 0.181431, 0.0189, 74
0.0001, 3, 11, 12.6597, 0.183219, 0.0134, 53
0.0001, 3, 11, 6.20324, 0.191996, 0.0087, 41
0.0001, 3, 11, 3.03959, 0.172631, 0.0079, 36
0.0001, 3, 11, 1.4894, 0.192581, 0.0084, 36
0.0001, 3, 11, 0.729805, 0.210429, 0.0069, 35
0.0001, 3, 7, 52.7267, 0.220568, 0.0139, 86
0.0001, 4, 50, 52.7267, 0.14363, 0.0462, 235
0.0001, 4, 50, 25.8361, 0.143831, 0.0437, 200
0.0001, 4, 50, 12.6597, 0.151628, 0.034, 156
0.0001, 4, 50, 6.20324, 0.144874, 0.0273, 146
0.0001, 4, 50, 3.03959, 0.149403, 0.0238, 136
0.0001, 4, 50, 1.4894, 0.161662, 0.0205, 132
0.0001, 4, 50, 0.729805, 0.171936, 0.0233, 152
0.0001, 4, 50, 0.357605, 0.168656, 0.0244, 155
0.0001, 4, 50, 0.175226, 0.165906, 0.019, 142
0.0001, 4, 50, 0.0858609, 0.169973, 0.0232, 140
0.0001, 4, 35, 52.7267, 0.169196, 0.0352, 169
0.0001, 4, 35, 25.8361, 0.169706, 0.0293, 132
0.0001, 4, 35, 12.6597, 0.172097, 0.0271, 113
0.0001, 4, 35, 6.20324, 0.159031, 0.0196, 104
0.0001, 4, 35, 3.03959, 0.179599, 0.0194, 97
0.0001, 4, 35, 1.4894, 0.176798, 0.0161, 94
0.0001, 4, 35, 0.729805, 0.193136, 0.0181, 110
0.0001, 4, 35, 0.357605, 0.18851, 0.017, 102
0.0001, 4, 35, 0.175226, 0.176582, 0.0175, 100
