dataset,query_set,mu,algorithm,params,rel_err,samples,query_time,build_time
covtype,test,0.01,ann-faiss,"{}_[0, 80, 256, 10]",0.5656960441574818,80.0,0.03337469100952149,8.273808479309082
covtype,test,0.01,ann-faiss,"{}_[0, 80, 256, 50]",0.5635681372889153,80.0,0.03250858783721923,8.273808479309082
covtype,test,0.01,ann-faiss,"{}_[0, 80, 512, 1]",0.5632453308065527,80.0,0.04535508155822754,8.273808479309082
covtype,test,0.01,ann-faiss,"{}_[0, 80, 512, 5]",0.5647644733315361,80.0,0.03290884494781494,8.273808479309082
covtype,test,0.01,ann-faiss,"{}_[0, 80, 512, 10]",0.5563344016137425,80.0,0.033365225791931144,8.273808479309082
covtype,test,0.01,ann-faiss,"{}_[0, 80, 512, 50]",0.5582054822677033,80.0,0.03283629417419433,8.273808479309082
covtype,test,0.01,ann-faiss,"{}_[0, 80, 1024, 1]",0.5709368627759455,80.0,0.0310213565826416,8.273808479309082
covtype,test,0.01,ann-faiss,"{}_[0, 80, 1024, 5]",0.5634526557046007,80.0,0.033863449096679696,8.273808479309082
covtype,test,0.01,ann-faiss,"{}_[0, 80, 1024, 10]",0.5710833811979179,80.0,0.033539128303527836,8.273808479309082
covtype,test,0.01,ann-faiss,"{}_[0, 80, 1024, 50]",0.5684045250369504,80.0,0.03324875831604003,8.273808479309082
covtype,test,0.01,ann-faiss,"{}_[0, 80, 2048, 5]",0.5754551416053769,80.0,0.03818187713623046,8.273808479309082
covtype,test,0.01,ann-faiss,"{}_[0, 80, 2048, 10]",0.5615703925567831,80.0,0.03290414810180664,8.273808479309082
covtype,test,0.01,ann-faiss,"{}_[0, 80, 2048, 50]",0.5700798952916173,80.0,0.03175156116485595,8.273808479309082
covtype,test,0.01,ann-faiss,"{}_[0, 80, 4096, 5]",0.557905911698301,80.0,0.04092495441436768,8.273808479309082
covtype,test,0.01,ann-faiss,"{}_[0, 80, 4096, 10]",0.5671143005355973,80.0,0.03211355209350586,8.273808479309082
covtype,test,0.01,ann-faiss,"{}_[0, 80, 4096, 50]",0.5721190740792572,80.0,0.032241106033325195,8.273808479309082
covtype,test,0.01,ann-faiss,"{}_[0, 160, 32, 1]",0.41430657120463854,160.0,0.07110869884490967,8.273808479309082
covtype,test,0.01,ann-faiss,"{}_[0, 160, 32, 5]",0.41762232981325303,160.0,0.06651599407196043,8.273808479309082
covtype,test,0.01,ann-faiss,"{}_[0, 160, 32, 10]",0.4170096320986253,160.0,0.0673924446105957,8.273808479309082
covtype,test,0.01,ann-faiss,"{}_[0, 160, 32, 50]",0.4172222351754346,160.0,0.06132662296295166,8.273808479309082
covtype,test,0.01,ann-faiss,"{}_[0, 160, 64, 1]",0.41349252008251514,160.0,0.0719404697418213,8.273808479309082
covtype,test,0.01,ann-faiss,"{}_[0, 160, 64, 5]",0.4173867689970481,160.0,0.05711705684661864,8.273808479309082
covtype,test,0.01,ann-faiss,"{}_[0, 160, 64, 10]",0.4156085124257585,160.0,0.056668496131896964,8.273808479309082
covtype,test,0.01,ann-faiss,"{}_[0, 160, 64, 50]",0.4163704655145627,160.0,0.056792426109313975,8.273808479309082
covtype,test,0.01,ann-faiss,"{}_[0, 160, 128, 1]",0.41932462155226896,160.0,0.05880913734436034,8.273808479309082
covtype,test,0.01,ann-faiss,"{}_[0, 160, 128, 5]",0.4119360268063891,160.0,0.057286596298217765,8.273808479309082
covtype,test,0.01,ann-faiss,"{}_[0, 160, 128, 10]",0.41677968748268257,160.0,0.05875179767608642,8.273808479309082
covtype,test,0.01,ann-faiss,"{}_[0, 160, 128, 50]",0.4090985184262855,160.0,0.05825538635253905,8.273808479309082
covtype,test,0.01,ann-faiss,"{}_[0, 160, 256, 1]",0.41710419281489514,160.0,0.06434898376464845,8.273808479309082
covtype,test,0.01,ann-faiss,"{}_[0, 160, 256, 5]",0.4137918188332873,160.0,0.06266791820526121,8.273808479309082
covtype,test,0.01,ann-faiss,"{}_[0, 160, 256, 10]",0.4191795726572394,160.0,0.06618435382843016,8.273808479309082
covtype,test,0.01,ann-faiss,"{}_[0, 160, 256, 50]",0.4133722355399416,160.0,0.06380181312561037,8.273808479309082
covtype,test,0.01,ann-faiss,"{}_[0, 160, 512, 1]",0.40967860911334975,160.0,0.05835852622985839,8.273808479309082
covtype,test,0.01,ann-faiss,"{}_[0, 160, 512, 5]",0.4126173363183357,160.0,0.05666842460632325,8.273808479309082
covtype,test,0.01,ann-faiss,"{}_[0, 160, 512, 10]",0.4177066374762429,160.0,0.05730721950531005,8.273808479309082
covtype,test,0.01,ann-faiss,"{}_[0, 160, 512, 50]",0.4196929153015013,160.0,0.05695061683654786,8.273808479309082
covtype,test,0.01,ann-faiss,"{}_[0, 160, 1024, 1]",0.4133190611943074,160.0,0.0714646816253662,8.273808479309082
covtype,test,0.01,ann-faiss,"{}_[0, 160, 1024, 5]",0.41345749228495415,160.0,0.06317520141601562,8.273808479309082
covtype,test,0.01,ann-faiss,"{}_[0, 160, 1024, 10]",0.41589138389841646,160.0,0.06314337253570557,8.273808479309082
covtype,test,0.01,ann-faiss,"{}_[0, 160, 1024, 50]",0.40923646440420025,160.0,0.06305923461914063,8.273808479309082
covtype,test,0.01,ann-faiss,"{}_[0, 160, 2048, 5]",0.409821842479125,160.0,0.07383134365081787,8.273808479309082
covtype,test,0.01,ann-faiss,"{}_[0, 160, 2048, 10]",0.41504607934562854,160.0,0.06516582965850828,8.273808479309082
covtype,test,0.01,ann-faiss,"{}_[0, 160, 2048, 50]",0.41236129005881805,160.0,0.06330881118774413,8.273808479309082
covtype,test,0.01,ann-faiss,"{}_[0, 160, 4096, 5]",0.40489532245132326,160.0,0.07057116031646728,8.273808479309082
covtype,test,0.01,ann-faiss,"{}_[0, 160, 4096, 10]",0.41541781920733645,160.0,0.06291937828063965,8.273808479309082
covtype,test,0.01,ann-faiss,"{}_[0, 160, 4096, 50]",0.41482366634492873,160.0,0.06583719253540041,8.273808479309082
covtype,test,0.01,ann-faiss,"{}_[0, 320, 32, 1]",0.2996471493993947,320.0,0.13882138729095456,8.273808479309082
covtype,test,0.01,ann-faiss,"{}_[0, 320, 32, 5]",0.2973099610642983,320.0,0.12952342033386227,8.273808479309082
covtype,test,0.01,ann-faiss,"{}_[0, 320, 32, 10]",0.30122966073261365,320.0,0.12645249366760256,8.273808479309082
covtype,test,0.01,ann-faiss,"{}_[0, 320, 32, 50]",0.2982087394499248,320.0,0.12995676994323732,8.273808479309082
covtype,test,0.01,ann-faiss,"{}_[0, 320, 64, 1]",0.2941122353465289,320.0,0.14298028945922853,8.273808479309082
covtype,test,0.01,ann-faiss,"{}_[0, 320, 64, 5]",0.29902845652493043,320.0,0.12815103530883792,8.273808479309082
covtype,test,0.01,ann-faiss,"{}_[0, 320, 64, 10]",0.2969070337811083,320.0,0.13314504623413084,8.273808479309082
covtype,test,0.01,ann-faiss,"{}_[0, 320, 64, 50]",0.29409557934906727,320.0,0.13822691440582277,8.273808479309082
covtype,test,0.01,ann-faiss,"{}_[0, 320, 128, 1]",0.2935921421639107,320.0,0.12690508365631104,8.273808479309082
covtype,test,0.01,ann-faiss,"{}_[0, 320, 128, 5]",0.30245941582693103,320.0,0.1258212566375732,8.273808479309082
covtype,test,0.01,ann-faiss,"{}_[0, 320, 128, 10]",0.29424185252507995,320.0,0.12671062946319583,8.273808479309082
covtype,test,0.01,ann-faiss,"{}_[0, 320, 128, 50]",0.29984238083238635,320.0,0.12710356712341309,8.273808479309082
covtype,test,0.01,ann-faiss,"{}_[0, 320, 256, 1]",0.2977536114666233,320.0,0.1387210130691528,8.273808479309082
covtype,test,0.01,ann-faiss,"{}_[0, 320, 256, 5]",0.30100205185545126,320.0,0.1279010772705078,8.273808479309082
covtype,test,0.01,ann-faiss,"{}_[0, 320, 256, 10]",0.2978401410198385,320.0,0.13667924404144285,8.273808479309082
covtype,test,0.01,ann-faiss,"{}_[0, 320, 256, 50]",0.2956234846643536,320.0,0.13400785923004152,8.273808479309082
covtype,test,0.01,ann-faiss,"{}_[0, 320, 512, 1]",0.2994521848165725,320.0,0.13812992572784427,8.273808479309082
covtype,test,0.01,ann-faiss,"{}_[0, 320, 512, 5]",0.2938352607645453,320.0,0.12897303104400631,8.273808479309082
covtype,test,0.01,ann-faiss,"{}_[0, 320, 512, 10]",0.2943593152920751,320.0,0.1298299312591553,8.273808479309082
covtype,test,0.01,ann-faiss,"{}_[0, 320, 512, 50]",0.30117939259223675,320.0,0.12961664199829098,8.273808479309082
covtype,test,0.01,ann-faiss,"{}_[0, 320, 1024, 1]",0.2988705980802105,320.0,0.1386296033859253,8.273808479309082
covtype,test,0.01,ann-faiss,"{}_[0, 320, 1024, 5]",0.29675510855467463,320.0,0.12834837436676022,8.273808479309082
covtype,test,0.01,ann-faiss,"{}_[0, 320, 1024, 10]",0.29807624164179597,320.0,0.12972846031188962,8.273808479309082
covtype,test,0.01,ann-faiss,"{}_[0, 320, 1024, 50]",0.2969717338461445,320.0,0.1305088996887207,8.273808479309082
covtype,test,0.01,ann-faiss,"{}_[0, 320, 2048, 5]",0.29936720062571415,320.0,0.13379428386688236,8.273808479309082
covtype,test,0.01,ann-faiss,"{}_[0, 320, 2048, 10]",0.29504643014450554,320.0,0.12358446121215819,8.273808479309082
covtype,test,0.01,ann-faiss,"{}_[0, 320, 2048, 50]",0.29949168765566275,320.0,0.12306602001190184,8.273808479309082
covtype,test,0.01,ann-faiss,"{}_[0, 320, 4096, 5]",0.2953013436010427,320.0,0.13867661952972415,8.273808479309082
covtype,test,0.01,ann-faiss,"{}_[0, 320, 4096, 10]",0.3022623350511506,320.0,0.13210217952728273,8.273808479309082
covtype,test,0.01,ann-faiss,"{}_[0, 320, 4096, 50]",0.29800043603222176,320.0,0.12773849964141842,8.273808479309082
covtype,test,0.01,ann-faiss,"{}_[0, 640, 32, 1]",0.21095550849591377,640.0,0.25919756889343265,8.273808479309082
covtype,test,0.01,ann-faiss,"{}_[0, 640, 32, 5]",0.21076937095957768,640.0,0.2637722969055175,8.273808479309082
covtype,test,0.01,ann-faiss,"{}_[0, 640, 32, 10]",0.21100169489435197,640.0,0.24721939563751225,8.273808479309082
covtype,test,0.01,ann-faiss,"{}_[0, 640, 32, 50]",0.21112739602178013,640.0,0.26322388648986816,8.273808479309082
covtype,test,0.01,ann-faiss,"{}_[0, 640, 64, 1]",0.20983625326138153,640.0,0.2674545526504516,8.273808479309082
covtype,test,0.01,ann-faiss,"{}_[0, 640, 64, 5]",0.21228653484252044,640.0,0.25371320247650153,8.273808479309082
